city,gnb,logistic
Guwahati,0.5226,0.4632
Phalodi,0.5573,0.6183
Delhi,0.5736,0.6061
Bhopal,0.6288,0.6538
Ahmedabad,0.6488,0.7153
Mithapur,0.6573,0.7183
Chennai,0.713,0.7607
Mumbai,0.7434,0.8115
